TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes
989214,58,,,9341555,3,8427, Crenshaw Dr,Inglewood,,,,,House,NewFromPublisher,0,,,,,,,0,0,not in address listing,,
828623,71,,,2893240,1/2,2408, W 85th St,Inglewood,,,,,House,NewFromPublisher,0,,,,,,,0,0,,,
786471,59,,,1622586,,6916,10ave,Inglewood,,,,,House,NewFromPublisher,0,,,,,,,0,0,,,
584366,62,,,1641322,,7304,10th Ave,Inglewood,,,,,House,NewFromPublisher,0,,,,,,,0,0,,,
584366,62,,,1869968,,7307,10th Ave,Los Angeles,,,,,House,NewFromPublisher,0,,,,,,,0,0,not listed,,
786471,59,,,1344975,1/2,6825,10th Ave,Los Angeles,,,,,House,NewFromPublisher,0,,,,,,,0,0,Available no access,,
356095,1,,,6393825,,8612,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,Householder is a minister on his way to a funeral,
356095,1,,,2855996,,8616,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,5074353,,8617,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,8675560,,8621,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,2942205,,8624,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,9937735,,8625,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,1197450,,8700,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,5533802,,8701,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,5868644,,8704,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,8403565,,8705,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,5329596,,8708,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,9249351,,8709,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
356095,1,,,6544117,,8712,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,,,,,
